Year,Site-yr,Site-no,Site,Soil,Texture,prevCrop,Till,Treatment,Treat-no,Plot,Rep,lbsN,FN,lbsP2O5,FP,lbsK20,FK,lbsS,FS,POP ha,POP ac,GDM,CDM,VDM,TDM,cobHi,HI,EARS,BARR,PROL,KERNE,KERNm,HSW,gUN,cUN,vUN,UN,NHI,gUP,cUP,vUP,UP,PHI,gUK,cUK,vUK,UK,KHI,gUCa,cUCa,vUCa,UCa,CaHI,gUMg,cUMg,vUMg,UMg,MgHI,gUS,cUS,vUS,US,SHI,gN,gP,gK,gCa,gMg,gS,cN,cP,cK,cCa,cMg,cS,vN,vP,vK,vCa,vMg,vS,SOM 0-4,SOM 4-8,SOM 0-8,SOM 8-16,pH 0-4,pH 4-8,pH 0-8,pH 8-16,bpH 0-4,bpH 4-8,bpH 0-8,bpH 8-16,Bray-P 0-4,Bray-P 4-8,Bray-P 0-8,Bray-P 8-16,cumBray-P8,cumBray-P16,Olsen-P 0-4,Olsen-P 4-8,Olsen-P 0-8,Olsen-P 8-16,cumOls-P8,cumOls-P16,K 0-4,K 4-8,K 0-8,K 8-16,cumK8,cumK16,NO3-12S,NO3-24S,NO3-36S,NO3-48S,avgNO3-S2ft,avgNO3-S3ft,avgNO3-S4ft,cumNO3-S,NO3-12F,NO3-24F,NO3-36F,NO3-48F,avgNO3-F,cumNO3-F,PSNT,Amino-N 0-6,Amino-N 6-12,SO4-S12,SO4-S24,SO4-S36,avgSO4-S,cumSO4-S,Zn 0-4,Zn 4-8,Zn 0-8,Fe 0-4,Fe 4-8,Fe 0-8,Mn 0-4,Mn 4-8,Mn 0-8,Cu 0-4,Cu 4-8,Cu 0-8,S 0-4,S 4-8,S 0-8,BD 0-8,irrigN,Observed L (F),Observed H (F),Normal L (F),Normal H (F),Observed Precip (inches),Observed S Fall (inches),GY Mg
2002,1,1,Mead,Tomek,siCL,soybean,NT,N2P1K0,3,403,4,125,140,41,20,0,0,0,0,65833,26642,13701,1474,10515,25690,0.90,0.53,69070,0.0,4.9,584,4035,34.0,207.2,9.2,93.7,310.0,0.67,43.5,0.8,2.5,46.8,0.93,49.6,17.7,223.6,290.9,0.17,2.3,0.4,41.8,44.5,0.05,11.7,0.9,20.9,33.6,0.35,16.0,0.9,7.5,24.4,0.66,1.51,0.32,0.36,0.02,0.09,0.12,0.62,0.06,1.20,0.03,0.06,0.06,0.89,0.02,2.13,0.40,0.20,0.07,3.28,2.62,2.95,2.35,6.19,5.94,6.07,6.34,6.73,6.72,6.72,7.00,11.7,5.7,8.7,2.5,23.1,30.0,8.9,3.8,6.3,0.5,16.8,18.0,581,347,464,308,1225,2079,6.0,2.7,1.5,1.5,4.4,3.4,2.9,47.7,6.6,5.3,3.8,4.0,4.9,80.8,,,,5.1,6.3,7.9,6.4,80.2,0.9,,0.9,40.5,,40.5,60.0,,60.0,1.5,,1.5,4.6,,4.6,1.32,90,14,28,17,37,T,T,15.73
2002,1,1,Mead,Tomek,siCL,soybean,NT,N1P1K1,4,104,1,75,84,41,20,43,40,0,0,63674,25768,13166,1355,9729,24250,0.91,0.54,70150,1.7,11.9,538,3772,34.9,197.6,8.4,92.0,298.1,0.66,37.4,0.8,4.9,43.1,0.87,46.5,16.3,250.0,312.8,0.15,2.1,0.4,46.8,49.3,0.04,13.3,0.8,14.0,28.1,0.47,15.1,0.8,9.0,25.0,0.61,1.50,0.28,0.35,0.02,0.10,0.12,0.62,0.06,1.20,0.03,0.06,0.06,0.95,0.05,2.57,0.48,0.14,0.09,3.69,3.09,3.39,2.28,6.41,5.72,6.06,6.25,7.00,6.52,6.76,6.74,30.3,13.0,21.6,2.2,57.1,63.1,20.7,7.9,14.3,0.3,37.8,38.8,581,382,482,273,1272,2028,8.0,5.1,1.9,1.9,6.6,5.0,4.2,68.3,,,,,,,,,,5.5,8.4,10.1,8.0,99.9,2.0,,2.0,58.0,,58.0,53.0,,53.0,1.1,,1.1,4.1,,4.1,1.32,90,13,26,17,37,0,0,15.11
2002,1,1,Mead,Tomek,siCL,soybean,NT,N1P1K1,4,210,2,75,84,41,20,43,40,0,0,60437,24458,12559,1302,8526,22387,0.91,0.56,60437,1.8,1.8,613,3703,33.9,179.2,8.1,64.6,251.9,0.71,35.9,0.7,2.9,39.5,0.91,44.1,15.7,177.9,237.7,0.19,2.3,0.3,31.6,34.2,0.07,13.8,0.8,19.8,34.4,0.40,14.2,0.8,6.1,21.0,0.68,1.43,0.29,0.35,0.02,0.11,0.11,0.62,0.06,1.20,0.03,0.06,0.06,0.76,0.03,2.09,0.37,0.23,0.07,3.37,2.92,3.14,2.19,6.40,5.98,6.19,6.42,7.00,6.62,6.81,7.00,29.1,5.3,17.2,2.9,45.4,53.4,17.4,3.1,10.3,1.0,27.1,30.0,718,433,575,269,1519,2265,2.7,1.6,1.1,1.1,2.1,1.8,1.6,26.8,,,,,,,,,,5.6,7.8,5.8,6.4,80.2,1.3,,1.3,42.0,,42.0,44.0,,44.0,1.5,,1.5,5.1,,5.1,1.32,90,9,20,17,37,0,0,14.42
2002,1,1,Mead,Tomek,siCL,soybean,NT,N1P1K1,4,301,3,75,84,41,20,43,40,0,0,57199,23148,11997,1297,8734,22028,0.90,0.54,59357,0.0,3.8,560,3325,36.1,179.6,8.1,66.6,254.3,0.71,35.2,0.7,2.8,38.7,0.91,40.5,15.6,163.3,219.5,0.18,2.2,0.3,32.8,35.3,0.06,14.9,0.8,16.5,32.2,0.46,13.5,0.8,7.5,21.7,0.62,1.50,0.29,0.34,0.02,0.12,0.11,0.62,0.06,1.20,0.03,0.06,0.06,0.76,0.03,1.87,0.38,0.19,0.09,3.61,2.90,3.25,2.28,6.59,6.07,6.33,6.50,7.00,6.55,6.78,7.00,12.3,5.3,8.8,2.1,23.2,29.1,8.9,5.0,6.9,0.2,18.3,18.9,647,406,526,285,1390,2179,6.7,2.2,1.7,1.7,4.5,3.6,3.1,50.2,,,,,,,,,,6.6,7.8,8.1,7.5,93.4,1.0,,1.0,43.0,,43.0,50.5,,50.5,1.5,,1.5,5.5,,5.5,1.32,90,20,37,18,38,T,T,13.77
2002,1,1,Mead,Tomek,siCL,soybean,NT,N2P1K1,5,110,1,125,140,41,20,43,40,0,0,62595,25331,14349,1512,11830,27691,0.90,0.52,65833,3.4,8.6,607,3999,35.9,218.8,9.4,101.5,329.7,0.66,42.2,0.8,7.1,50.1,0.84,50.4,18.2,258.7,327.3,0.15,2.3,0.4,48.8,51.5,0.04,14.7,0.9,25.1,40.7,0.36,17.3,0.9,10.1,28.3,0.61,1.52,0.29,0.35,0.02,0.10,0.12,0.62,0.06,1.20,0.03,0.06,0.06,0.86,0.06,2.19,0.41,0.21,0.09,3.43,3.07,3.25,2.47,6.65,6.01,6.33,6.42,7.00,6.65,6.83,7.00,19.0,8.4,13.7,2.5,36.2,43.1,13.4,5.0,9.2,0.6,24.3,25.9,601,394,497,293,1313,2124,4.6,4.3,2.5,2.5,4.5,3.8,3.5,56.8,,,,,,,,,,3.9,6.5,9.2,6.5,81.5,1.8,,1.8,45.0,,45.0,43.0,,43.0,1.0,,1.0,3.4,,3.4,1.32,90,29,49,18,38,0.03,0.2,16.47
2002,1,1,Mead,Tomek,siCL,soybean,NT,N2P1K1,5,203,2,125,140,41,20,43,40,0,0,62595,25331,13155,1429,9416,24001,0.90,0.55,63674,3.4,5.2,583,3710,35.5,203.5,8.9,79.9,292.3,0.70,39.9,0.8,4.1,44.9,0.89,45.1,17.2,197.6,259.9,0.17,2.4,0.4,38.6,41.4,0.06,14.9,0.9,20.0,35.9,0.42,16.0,0.8,8.7,25.5,0.63,1.55,0.30,0.34,0.02,0.11,0.12,0.62,0.06,1.20,0.03,0.06,0.06,0.85,0.04,2.10,0.41,0.21,0.09,3.38,2.97,3.18,2.19,6.70,5.85,6.27,6.35,7.00,6.35,6.67,7.00,15.2,6.6,10.9,2.7,28.8,36.3,10.4,5.7,8.0,0.8,21.2,23.5,651,390,521,277,1375,2142,6.5,2.9,1.9,1.9,4.7,3.8,3.3,53.3,,,,,,,,,,6.3,7.9,9.7,7.9,99.1,1.2,,1.2,42.0,,42.0,44.5,,44.5,1.1,,1.1,3.3,,3.3,1.32,90,28,39,18,38,0.04,0,15.10
2002,1,1,Mead,Tomek,siCL,soybean,NT,N2P1K1,5,302,3,125,140,41,20,43,40,0,0,55040,22274,12351,1339,9215,22905,0.90,0.54,58278,5.9,11.8,559,3260,37.9,188.2,8.3,89.4,285.9,0.66,36.7,0.7,4.8,42.3,0.87,45.1,16.1,177.6,238.7,0.19,2.1,0.4,38.6,41.0,0.05,16.7,0.8,16.3,33.9,0.49,14.6,0.8,9.2,24.6,0.59,1.52,0.30,0.36,0.02,0.13,0.12,0.62,0.06,1.20,0.03,0.06,0.06,0.97,0.05,1.93,0.42,0.18,0.10,3.74,2.95,3.35,2.34,6.52,6.15,6.34,6.28,7.00,6.61,6.81,7.00,14.2,4.7,9.4,2.4,24.8,31.4,9.2,3.1,6.2,0.1,16.3,16.6,651,386,519,296,1369,2191,5.9,1.8,1.3,1.3,3.8,3.0,2.5,41.0,,,,,,,,,,6.3,6.4,6.8,6.5,80.4,1.1,,1.1,47.5,,47.5,51.0,,51.0,1.5,,1.5,4.3,,4.3,1.32,90,30,48,19,39,0,0,14.18
2002,1,1,Mead,Tomek,siCL,soybean,NT,N2P1K1,5,402,4,125,140,41,20,43,40,0,0,62595,25331,13344,1278,9794,24416,0.91,0.55,67991,0.0,8.6,597,4060,32.9,201.1,7.9,88.4,297.5,0.68,40.6,0.7,3.3,44.7,0.91,50.2,15.4,205.3,270.9,0.19,2.4,0.3,41.8,44.6,0.05,17.7,0.8,20.7,39.2,0.45,15.5,0.7,9.2,25.4,0.61,1.51,0.30,0.38,0.02,0.13,0.12,0.62,0.06,1.20,0.03,0.06,0.06,0.90,0.03,2.10,0.43,0.21,0.09,3.23,2.57,2.90,2.39,6.18,5.71,5.94,6.23,6.54,6.33,6.43,6.62,15.5,7.1,11.3,3.2,29.8,38.6,9.0,4.7,6.8,0.3,18.0,18.9,495,328,411,312,1086,1951,3.0,1.7,1.1,1.1,2.4,1.9,1.7,28.1,,,,,,,,,,4.9,4.0,5.8,4.9,60.8,1.0,,1.0,48.5,,48.5,60.5,,60.5,1.3,,1.3,4.3,,4.3,1.32,90,37,66,19,39,0,0,15.32
2002,1,1,Mead,Tomek,siCL,soybean,NT,N3P1K1,6,105,1,175,196,41,20,43,40,0,0,72308,29262,13869,1495,10575,25938,0.90,0.53,76625,0.0,6.0,523,4011,34.6,198.9,9.3,113.6,321.7,0.62,40.5,0.8,2.0,43.4,0.93,47.9,18.0,272.6,338.5,0.14,2.5,0.4,51.0,53.9,0.05,11.4,0.9,19.4,31.7,0.36,17.0,0.9,9.8,27.7,0.61,1.43,0.29,0.35,0.02,0.08,0.12,0.62,0.06,1.20,0.03,0.06,0.06,1.07,0.02,2.58,0.48,0.18,0.09,3.56,3.15,3.36,2.35,6.56,5.94,6.25,6.30,7.00,6.28,6.64,7.00,16.7,8.6,12.7,1.5,33.4,37.7,12.0,5.9,9.0,0.6,23.7,25.3,636,417,527,285,1390,2179,6.6,4.2,1.6,1.6,5.4,4.1,3.5,57.0,,,,,,,,,,5.4,7.1,8.7,7.1,88.2,1.8,,1.8,50.5,,50.5,49.5,,49.5,1.0,,1.0,4.0,,4.0,1.32,90,46,67,19,39,0,0,15.92
2002,1,1,Mead,Tomek,siCL,soybean,NT,N3P1K1,6,207,2,175,196,41,20,43,40,0,0,58278,23584,12807,1431,9083,23320,0.90,0.55,63674,0.0,9.3,538,3423,37.4,196.2,8.9,84.2,289.3,0.68,39.8,0.8,5.1,45.7,0.87,48.0,17.2,202.4,267.5,0.18,2.3,0.4,32.3,34.9,0.07,19.1,0.9,14.2,34.2,0.56,16.0,0.8,8.4,25.3,0.63,1.53,0.31,0.37,0.02,0.15,0.12,0.62,0.06,1.20,0.03,0.06,0.06,0.93,0.06,2.23,0.36,0.16,0.09,3.35,2.80,3.07,2.14,6.04,5.43,5.73,6.25,6.74,6.40,6.57,6.67,7.6,5.5,6.6,2.4,17.3,24.1,4.4,3.5,4.0,0.7,10.4,12.4,597,355,476,296,1256,2078,5.7,2.7,1.2,1.2,4.2,3.2,2.7,44.2,,,,,,,,,,3.9,8.2,9.1,7.1,88.4,0.7,,0.7,44.0,,44.0,51.5,,51.5,1.5,,1.5,5.5,,5.5,1.32,90,32,54,20,40,0,0,14.70
2002,1,1,Mead,Tomek,siCL,soybean,NT,N3P1K1,6,310,3,175,196,41,20,43,40,0,0,70150,28389,14361,1522,12335,28218,0.90,0.51,72308,1.5,4.6,588,4251,33.8,218.3,9.5,118.9,346.7,0.63,43.5,0.8,4.6,48.9,0.89,53.2,18.3,287.7,359.2,0.15,2.6,0.4,45.0,48.0,0.05,14.9,1.0,23.2,39.0,0.38,17.5,0.9,11.0,29.4,0.60,1.52,0.30,0.37,0.02,0.10,0.12,0.62,0.06,1.20,0.03,0.06,0.06,0.96,0.04,2.33,0.36,0.19,0.09,3.23,2.57,2.90,2.43,6.31,5.96,6.13,6.27,7.00,6.53,6.77,7.00,16.3,7.1,11.7,2.5,30.9,38.0,9.1,5.8,7.5,0.3,19.7,20.6,511,335,423,320,1117,2004,7.3,2.5,1.5,1.5,4.9,3.8,3.2,51.5,,,,,,,,,,4.9,6.1,6.6,5.9,73.0,1.1,,1.1,46.0,,46.0,63.0,,63.0,1.5,,1.5,4.3,,4.3,1.32,90,33,51,20,40,T,0,16.49
2002,1,1,Mead,Tomek,siCL,soybean,NT,N3P1K1,6,407,4,175,196,41,20,43,40,0,0,66912,27078,12644,1369,9770,23783,0.90,0.53,69070,3.2,6.5,516,3564,35.5,187.0,8.5,96.1,291.7,0.64,35.5,0.8,2.7,39.0,0.91,42.1,16.5,197.3,255.8,0.16,2.1,0.4,41.0,43.5,0.05,17.8,0.9,18.5,37.1,0.48,15.0,0.8,9.0,24.8,0.61,1.48,0.28,0.33,0.02,0.14,0.12,0.62,0.06,1.20,0.03,0.06,0.06,0.98,0.03,2.02,0.42,0.19,0.09,3.33,2.80,3.06,2.28,6.39,5.84,6.12,6.28,7.00,6.42,6.71,7.00,10.0,5.0,7.5,2.7,19.7,27.1,9.8,3.4,6.6,0.2,17.4,18.0,589,370,480,300,1266,2099,6.7,3.0,0.8,0.8,4.8,3.5,2.8,45.3,,,,,,,,,,7.0,6.1,7.3,6.8,84.4,1.2,,1.2,41.0,,41.0,54.0,,54.0,1.6,,1.6,4.7,,4.7,1.32,90,36,44,20,41,T,0,14.51
